City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Darnah,LY,75.76,clear sky,32.767,22.6367,فندق الفردوس
3,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
8,Madras,IN,82.38,haze,13.0878,80.2785,City home
10,Butaritari,KI,83.05,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
11,Meulaboh,ID,78.12,overcast clouds,4.1363,96.1285,Kost Pria
15,Rikitea,PF,73.83,clear sky,-23.1203,-134.9692,People ThankYou
18,Sinnamary,GF,79.57,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
21,Longhua,CN,87.91,light rain,23.6137,114.1919,Huadu Hotel
23,Kearney,US,80.51,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
26,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
34,Ponta Do Sol,PT,74.71,broken clouds,32.6667,-17.1,Hotel do Campo
37,Guerrero Negro,MX,72.27,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
38,Hilo,US,82.13,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
40,Airai,TL,73.42,broken clouds,-8.9266,125.4092,Juvinal Martin
42,Rome,US,70.66,mist,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
43,Kavaratti,IN,81.03,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
45,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
46,Matay,EG,75.61,clear sky,28.419,30.7792,Nag Aespen
50,Hithadhoo,MV,82.24,scattered clouds,-0.6,73.0833,Scoop Guest House
53,Bang Saphan,TH,76.95,light rain,11.2126,99.5117,Ladawan Boutique Hotel
59,Brigantine,US,77.32,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
61,Mayo,US,82.42,clear sky,38.8876,-76.5119,Resorts Resource Group International
62,Faanui,PF,79.29,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
63,Trincomalee,LK,81.5,broken clouds,8.5711,81.2335,Welcombe Hotel
64,Kapaa,US,89.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Trat,TH,84.25,overcast clouds,12.5,102.5,สวนหนิง-อัศ
67,Galle,LK,78.73,scattered clouds,6.0367,80.217,Amangalla
69,Lompoc,US,75.34,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
70,Ende,ID,83.84,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
71,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
72,Hawalli,KW,89.69,clear sky,29.2833,47.9972,"Holiday Inn Kuwait al Thuraya City, an IHG Hotel"
75,Kloulklubed,PW,84.07,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
77,Lodwar,KE,84.27,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
78,Emerald,AU,73.54,clear sky,-23.5333,148.1667,The Irish Village
79,Naze,JP,79.72,few clouds,28.3667,129.4833,オーベルジュ・アガルイ
80,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
82,Gwadar,PK,82.22,broken clouds,25.1216,62.3254,Sadaf Resort
84,Byron Bay,AU,73.06,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
85,Bethel,US,77.09,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
88,Bandarbeyla,SO,77.95,overcast clouds,9.4942,50.8122,JABIR HOTEL
90,Veraval,IN,80.55,light rain,20.9,70.3667,Lords Inn Somnath
97,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
98,Tingo Maria,PE,70.9,few clouds,-9.2895,-76.0088,Hospedaje Paraíso
100,Samarai,PG,79.39,broken clouds,-10.6167,150.6667,Nuli Sapi
104,Hondo,JP,80.55,scattered clouds,32.45,130.2,ホテル河丁
106,Gasa,PS,75.18,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
108,Tomatlan,MX,77.67,overcast clouds,19.9333,-105.25,El Salvial
111,Tarakan,ID,76.5,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
112,Port-Gentil,GA,77.07,scattered clouds,-0.7193,8.7815,Fengshui Residence
117,Bengkulu,ID,78.67,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
118,Atuona,PF,77.95,clear sky,-9.8,-139.0333,Villa Enata
121,Pundaguitan,PH,80.53,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
122,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
124,Mackay,AU,77.04,clear sky,-21.15,149.2,International Lodge Motel
125,Labuhan,ID,81.25,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
126,Gurupi,BR,87.57,clear sky,-11.7292,-49.0686,Via Norte Hotel
133,Katsuura,JP,75.31,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
