City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,51.91,82,88,11.16,light rain
1,Mahebourg,MU,-20.4081,57.7,68.29,94,40,3.44,light rain
2,Darnah,LY,32.767,22.6367,75.76,72,0,15.43,clear sky
3,Vaini,TO,-21.2,-175.2,80.76,89,75,10.36,broken clouds
4,Maramba,TZ,-5.05,38.6167,61.9,92,100,1.19,overcast clouds
5,Bredasdorp,ZA,-34.5322,20.0403,42.12,87,49,1.14,light rain
6,Castro,BR,-24.7911,-50.0119,57.45,98,100,9.51,overcast clouds
7,Hobart,AU,-42.8794,147.3294,56.05,64,20,8.05,few clouds
8,Madras,IN,13.0878,80.2785,82.38,74,75,4.61,haze
9,East London,ZA,-33.0153,27.9116,59.4,68,97,13.24,overcast clouds
10,Butaritari,KI,3.0707,172.7902,83.05,72,95,13.29,overcast clouds
11,Meulaboh,ID,4.1363,96.1285,78.12,77,99,3.31,overcast clouds
12,Richards Bay,ZA,-28.783,32.0377,66.33,81,100,8.5,light rain
13,Busselton,AU,-33.65,115.3333,51.08,78,94,21.68,light rain
14,Ushuaia,AR,-54.8,-68.3,28.06,100,40,19.57,scattered clouds
15,Rikitea,PF,-23.1203,-134.9692,73.83,69,1,14.07,clear sky
16,Punta Arenas,CL,-53.15,-70.9167,33.91,64,75,8.05,broken clouds
17,Clyde River,CA,70.4692,-68.5914,30.67,74,20,7.76,few clouds
18,Sinnamary,GF,5.3833,-52.95,79.57,85,0,9.4,clear sky
19,Mataura,NZ,-46.1927,168.8643,47.48,81,98,2.89,light rain
20,Vardo,NO,70.3705,31.1107,42.15,73,89,4.94,overcast clouds
21,Longhua,CN,23.6137,114.1919,87.91,61,21,1.3,light rain
22,Bluff,NZ,-46.6,168.3333,47.8,67,91,12.03,overcast clouds
23,Kearney,US,40.6995,-99.0815,80.51,54,1,16.11,clear sky
24,Saint George,US,37.1041,-113.5841,97.39,10,1,1.99,clear sky
25,Lebu,CL,-37.6167,-73.65,48.27,84,2,5.73,clear sky
26,Georgetown,MY,5.4112,100.3354,82.33,87,20,2.3,few clouds
27,Bergschenhoek,NL,51.99,4.4986,59.07,88,90,5.75,overcast clouds
28,Haines Junction,CA,60.7522,-137.5108,53.55,40,98,8.05,overcast clouds
29,Ancud,CL,-41.8697,-73.8203,49.42,87,100,14.47,light rain
30,Vasyurinskaya,RU,45.1181,39.424,62.83,44,53,8.03,broken clouds
31,Luba,GQ,3.4568,8.5547,76.89,89,100,6.08,light rain
32,Nikolskoye,RU,59.7035,30.7861,44.02,90,100,4.09,overcast clouds
33,Kruisfontein,ZA,-34.0033,24.7314,52.88,81,5,7.34,clear sky
34,Ponta Do Sol,PT,32.6667,-17.1,74.71,72,58,5.19,broken clouds
35,Saint-Augustin,CA,51.226,-58.6502,49.98,92,100,20.09,overcast clouds
36,Aksu,CN,41.1231,80.2644,67.37,43,54,3.85,broken clouds
37,Guerrero Negro,MX,27.9769,-114.0611,72.27,75,0,21.12,clear sky
38,Hilo,US,19.7297,-155.09,82.13,80,75,13.8,heavy intensity rain
39,Port Alfred,ZA,-33.5906,26.891,56.59,80,45,9.28,light rain
40,Airai,TL,-8.9266,125.4092,73.42,48,72,4.68,broken clouds
41,College,US,64.8569,-147.8028,56.66,46,75,10.36,broken clouds
42,Rome,US,34.257,-85.1647,70.66,93,90,5.75,mist
43,Kavaratti,IN,10.5669,72.642,81.03,79,100,18.34,overcast clouds
