City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2021-09-13 20:53:13,42.097,-79.2353,79.09,81,90,5.99
1,Klaksvik,FO,2021-09-13 20:53:13,62.2266,-6.589,52.72,91,100,19.42
2,Chokurdakh,RU,2021-09-13 20:53:14,70.6333,147.9167,40.3,77,84,3.06
3,Pevek,RU,2021-09-13 20:53:14,69.7008,170.3133,34.36,99,100,7.94
4,Fare,PF,2021-09-13 20:53:14,-16.7,-151.0167,78.19,75,19,15.82
5,Atuona,PF,2021-09-13 20:53:15,-9.8,-139.0333,77.77,69,37,20.89
6,Padang,ID,2021-09-13 20:53:15,-0.9492,100.3543,76.05,78,100,3.51
7,Rikitea,PF,2021-09-13 20:53:15,-23.1203,-134.9692,74.32,74,54,10.6
8,Albany,US,2021-09-13 20:53:18,42.6001,-73.9662,77.67,54,61,9.26
9,Mogadishu,SO,2021-09-13 20:53:18,2.0371,45.3438,76.95,78,100,18.66
10,Georgetown,MY,2021-09-13 20:50:40,5.4112,100.3354,76.95,91,20,1.01
11,Esperance,AU,2021-09-13 20:53:18,-33.8667,121.9,48.04,86,0,9.37
12,Norman Wells,CA,2021-09-13 20:53:19,65.282,-126.8329,53.64,71,20,5.75
13,Batemans Bay,AU,2021-09-13 20:53:19,-35.7167,150.1833,49.91,86,37,7.65
14,Ponta Do Sol,PT,2021-09-13 20:53:20,32.6667,-17.1,74.01,75,20,10.18
15,Ushuaia,AR,2021-09-13 20:49:46,-54.8,-68.3,40.62,75,56,8.21
16,Hofn,IS,2021-09-13 20:53:20,64.2539,-15.2082,50.94,74,68,28.34
17,Nanortalik,GL,2021-09-13 20:53:20,60.1432,-45.2371,38.26,78,5,20.22
18,Upernavik,GL,2021-09-13 20:53:21,72.7868,-56.1549,35.01,73,100,16.67
19,Hobart,AU,2021-09-13 20:49:14,-42.8794,147.3294,37.06,92,20,1.99
20,Narsaq,GL,2021-09-13 20:53:21,60.9167,-46.05,40.98,48,0,6.08
21,Cape Town,ZA,2021-09-13 20:53:22,-33.9258,18.4232,55.81,73,20,4.0
22,Arraial Do Cabo,BR,2021-09-13 20:53:22,-22.9661,-42.0278,76.96,83,0,18.41
23,Avarua,CK,2021-09-13 20:53:22,-21.2078,-159.775,78.85,69,20,16.11
24,Amontada,BR,2021-09-13 20:51:17,-3.3617,-39.8317,81.36,64,19,11.43
25,Kudahuvadhoo,MV,2021-09-13 20:53:23,2.6708,72.8944,83.16,74,12,6.85
26,Antalaha,MG,2021-09-13 20:53:23,-14.9003,50.2788,68.65,90,42,7.11
27,Bredasdorp,ZA,2021-09-13 20:53:23,-34.5322,20.0403,54.72,71,100,1.14
28,Bethel,US,2021-09-13 20:53:24,41.3712,-73.414,83.34,62,34,1.01
29,Port Elizabeth,ZA,2021-09-13 20:53:24,-33.918,25.5701,57.49,100,90,16.11
30,Mataura,NZ,2021-09-13 20:53:24,-46.1927,168.8643,39.47,95,85,1.36
31,Chuy,UY,2021-09-13 20:51:09,-33.6971,-53.4616,61.23,97,99,4.5
32,Punta Arenas,CL,2021-09-13 20:51:44,-53.15,-70.9167,50.02,61,75,25.32
33,Kununurra,AU,2021-09-13 20:52:18,-15.7667,128.7333,67.98,83,82,0.0
34,Busselton,AU,2021-09-13 20:53:25,-33.65,115.3333,42.08,85,3,5.61
35,Khatanga,RU,2021-09-13 20:53:25,71.9667,102.5,42.58,81,18,9.15
36,Tuatapere,NZ,2021-09-13 20:53:26,-46.1333,167.6833,39.81,89,98,2.35
37,Vila Franca Do Campo,PT,2021-09-13 20:53:26,37.7167,-25.4333,68.41,81,31,8.23
38,Tiksi,RU,2021-09-13 20:53:26,71.6872,128.8694,41.56,90,100,2.64
39,Mocuba,MZ,2021-09-13 20:53:27,-16.8392,36.9856,71.24,72,0,3.58
40,Miri,MY,2021-09-13 20:53:27,4.4148,114.0089,75.34,94,40,5.75
41,Quito,EC,2021-09-13 20:48:57,-0.2299,-78.5249,68.95,60,97,2.82
42,Bluff,NZ,2021-09-13 20:53:27,-46.6,168.3333,39.79,63,88,5.84
43,Sitka,US,2021-09-13 20:53:28,57.0531,-135.33,57.09,88,90,10.36
44,Lebu,CL,2021-09-13 20:53:28,-37.6167,-73.65,51.06,68,2,12.17
45,Cozieni,RO,2021-09-13 20:53:29,45.3333,26.4833,64.45,54,96,4.79
46,Hilo,US,2021-09-13 20:53:29,19.7297,-155.09,83.28,77,3,1.99
47,Santa Isabel Do Rio Negro,BR,2021-09-13 20:53:29,-0.4139,-65.0192,84.47,64,82,2.91
48,Kodiak,US,2021-09-13 20:53:30,57.79,-152.4072,51.98,77,100,11.65
49,Erzin,TR,2021-09-13 20:53:30,36.9559,36.2,76.01,76,0,1.59
50,Isangel,VU,2021-09-13 20:53:30,-19.55,169.2667,69.91,94,33,0.0
51,Hammerfest,NO,2021-09-13 20:53:31,70.6634,23.6821,43.25,81,75,8.05
52,Lermontovka,RU,2021-09-13 20:53:31,47.1453,134.3383,46.42,73,100,2.75
53,Laguna,US,2021-09-13 20:53:31,38.421,-121.4238,99.64,24,1,1.99
54,Iracoubo,GF,2021-09-13 20:53:32,5.4802,-53.2011,81.09,79,5,6.31
55,Prince Rupert,CA,2021-09-13 20:53:32,54.3161,-130.3201,57.29,82,90,13.8
56,Torbay,CA,2021-09-13 20:53:32,47.6666,-52.7314,63.75,69,90,23.02
57,Tarabuco,BO,2021-09-13 20:53:33,-19.1667,-64.9167,69.28,21,44,6.42
58,Vardo,NO,2021-09-13 20:53:33,70.3705,31.1107,42.78,75,75,17.27
59,Kavieng,PG,2021-09-13 20:53:34,-2.5744,150.7967,81.34,80,87,13.67
60,Burnie,AU,2021-09-13 20:53:34,-41.0667,145.9167,43.95,76,73,5.86
61,Simoes,BR,2021-09-13 20:53:34,-7.5989,-40.8178,81.12,43,7,8.57
62,New Norfolk,AU,2021-09-13 20:53:35,-42.7826,147.0587,36.72,76,16,2.37
63,Airai,TL,2021-09-13 20:53:35,-8.9266,125.4092,57.96,87,42,3.02
64,Vaini,TO,2021-09-13 20:53:35,-21.2,-175.2,75.36,88,20,8.05
65,Touros,BR,2021-09-13 20:53:36,-5.1989,-35.4608,81.5,80,4,15.19
66,College,US,2021-09-13 20:53:36,64.8569,-147.8028,59.58,59,75,0.0
67,Nurota,UZ,2021-09-13 20:53:36,40.5614,65.6886,64.49,25,0,6.51
68,East London,ZA,2021-09-13 20:53:37,-33.0153,27.9116,66.18,73,100,15.64
69,Pangnirtung,CA,2021-09-13 20:53:37,66.1451,-65.7125,39.2,60,20,18.41
70,Rosario,AR,2021-09-13 20:51:07,-32.9468,-60.6393,69.71,68,75,4.0
71,Nishihara,JP,2021-09-13 20:53:37,26.1842,127.7558,82.06,89,75,14.97
72,Qaanaaq,GL,2021-09-13 20:53:38,77.484,-69.3632,19.71,73,14,6.71
73,Tasiilaq,GL,2021-09-13 20:53:38,65.6145,-37.6368,39.88,62,99,21.0
74,Hermanus,ZA,2021-09-13 20:53:39,-34.4187,19.2345,54.9,73,96,9.93
75,Tanem,NO,2021-09-13 20:53:39,63.3078,10.4319,46.33,86,100,2.89
76,Carnarvon,AU,2021-09-13 20:53:42,-24.8667,113.6333,57.27,67,0,9.22
77,Tura,IN,2021-09-13 20:53:42,25.5198,90.2201,73.44,97,100,6.04
78,Teguise,ES,2021-09-13 20:53:42,29.0605,-13.564,73.62,73,20,9.22
79,Kapaa,US,2021-09-13 20:53:43,22.0752,-159.319,81.48,59,21,7.0
80,Faya,SA,2021-09-13 20:53:43,18.3851,42.4509,68.11,33,9,2.15
81,Banjar,ID,2021-09-13 20:53:43,-8.19,114.9675,78.66,88,37,2.19
82,Kropotkin,RU,2021-09-13 20:53:44,45.4375,40.5756,66.38,65,62,5.08
83,Kulhudhuffushi,MV,2021-09-13 20:53:44,6.6221,73.07,82.22,78,52,15.52
84,Okhotsk,RU,2021-09-13 20:53:44,59.3833,143.3,52.72,65,7,2.33
85,Tosya,TR,2021-09-13 20:53:45,41.0155,34.0401,59.61,79,43,3.11
86,Namatanai,PG,2021-09-13 20:53:45,-3.6667,152.4333,79.97,81,77,9.4
87,Butaritari,KI,2021-09-13 20:53:45,3.0707,172.7902,82.06,78,41,17.78
88,Ust-Omchug,RU,2021-09-13 20:53:46,61.15,149.6333,45.12,56,4,1.41
89,Nikolayevskaya,RU,2021-09-13 20:53:46,47.6139,41.5023,63.39,59,42,3.6
90,Pisco,PE,2021-09-13 20:53:46,-13.7,-76.2167,65.01,77,40,8.05
91,Den Helder,NL,2021-09-13 20:53:47,52.9599,4.7593,62.58,82,62,8.05
92,Pilar,BR,2021-09-13 20:53:47,-9.5972,-35.9567,78.73,94,21,5.3
93,Soloneshnoye,RU,2021-09-13 20:53:48,51.6544,84.3197,40.95,57,53,7.54
94,Yellowknife,CA,2021-09-13 20:50:47,62.456,-114.3525,57.72,72,75,8.05
95,Sosnovo-Ozerskoye,RU,2021-09-13 20:53:48,52.5249,111.5418,44.78,84,67,6.2
96,Flinders,AU,2021-09-13 20:53:48,-34.5833,150.8552,51.19,75,57,5.99
97,Moultonborough,US,2021-09-13 20:53:49,43.7548,-71.3967,75.6,54,0,8.99
98,Cruzeiro Do Sul,BR,2021-09-13 20:53:49,-29.5128,-51.9853,68.52,91,100,4.52
99,Srednekolymsk,RU,2021-09-13 20:53:50,67.45,153.6833,47.91,68,100,6.64
100,Umm Lajj,SA,2021-09-13 20:53:50,25.0213,37.2685,85.12,60,0,3.67
101,Cockburn Town,TC,2021-09-13 20:53:50,21.4612,-71.1419,83.55,71,72,16.98
102,Tezu,IN,2021-09-13 20:53:50,27.9167,96.1667,76.69,78,5,4.45
103,Lavrentiya,RU,2021-09-13 20:53:51,65.5833,-171.0,44.15,85,100,15.12
104,Tocopilla,CL,2021-09-13 20:51:53,-22.092,-70.1979,63.72,65,94,5.01
105,Kieta,PG,2021-09-13 20:53:51,-6.2167,155.6333,80.51,82,84,7.49
106,Meulaboh,ID,2021-09-13 20:53:52,4.1363,96.1285,75.4,86,96,4.09
107,Pointe Michel,DM,2021-09-13 20:53:52,15.25,-61.3833,83.34,89,20,2.3
108,Paraiso,CR,2021-09-13 20:53:53,9.8383,-83.8656,69.42,95,98,1.79
109,Xining,CN,2021-09-13 20:53:53,36.6167,101.7667,57.2,96,100,2.21
110,Provideniya,RU,2021-09-13 20:53:53,64.3833,-173.3,46.51,76,90,13.42
111,Cayenne,GF,2021-09-13 20:53:54,4.9333,-52.3333,86.04,79,75,3.0
112,Petropavl,KZ,2021-09-13 20:53:54,54.8753,69.1628,42.67,74,31,4.81
113,Moyale,KE,2021-09-13 20:53:54,3.5167,39.0584,70.34,52,67,3.96
114,Mar Del Plata,AR,2021-09-13 20:50:51,-38.0023,-57.5575,62.62,34,0,20.71
115,Machacamarca,BO,2021-09-13 20:53:55,-18.1667,-67.0333,65.41,16,54,12.97
116,Mahebourg,MU,2021-09-13 20:53:55,-20.4081,57.7,70.25,73,40,13.8
117,Karla,EE,2021-09-13 20:53:55,59.3723,24.9275,51.76,66,0,17.27
118,Beidao,CN,2021-09-13 20:53:56,34.5686,105.8933,64.58,75,77,6.6
119,Saint-Louis,SN,2021-09-13 20:53:56,16.3333,-15.0,90.81,43,100,18.84
120,Korla,CN,2021-09-13 20:53:56,41.7597,86.1469,68.52,42,0,9.26
121,Perbaungan,ID,2021-09-13 20:53:57,3.5679,98.956,77.11,93,100,3.76
122,Marzuq,YE,2021-09-13 20:53:57,14.4,46.4667,82.35,35,37,2.06
123,Beringovskiy,RU,2021-09-13 20:53:57,63.05,179.3167,33.03,76,94,15.39
124,Port Alfred,ZA,2021-09-13 20:53:58,-33.5906,26.891,64.72,82,96,16.8
125,Borujerd,IR,2021-09-13 20:53:58,33.8973,48.7516,67.44,22,0,1.77
126,Coquimbo,CL,2021-09-13 20:53:58,-29.9533,-71.3436,67.73,45,0,14.97
127,Puerto Ayora,EC,2021-09-13 20:53:59,-0.7393,-90.3518,76.96,89,75,8.01
128,Bentiu,SS,2021-09-13 20:53:59,9.2333,29.8333,72.41,89,82,2.33
129,Barabai,ID,2021-09-13 20:53:59,-2.5833,115.3833,73.06,97,79,0.94
130,Rome,US,2021-09-13 20:54:00,34.257,-85.1647,90.1,64,97,1.05
131,Kuryk,KZ,2021-09-13 20:54:00,43.2,51.65,76.77,28,1,15.57
132,Scarborough,GB,2021-09-13 20:54:00,54.2797,-0.4044,58.53,87,96,1.99
133,Cidreira,BR,2021-09-13 20:54:01,-30.1811,-50.2056,66.11,98,100,13.22
134,Azul,AR,2021-09-13 20:54:01,-36.777,-59.8585,57.6,61,0,14.5
